tau,samples_per_state,repeat,resolved_count
0.4,5000,11,41
0.4,5000,12,41
0.4,5000,13,41
0.4,5000,14,40
0.4,5000,15,40
0.4,5000,16,40
0.4,5000,17,42
0.4,5000,18,41
0.4,5000,19,41
0.4,5000,20,40
0.4,5000,21,40
0.4,5000,22,40
0.4,5000,23,41
0.4,5000,24,40
0.4,5000,25,40
0.4,5000,26,40
0.4,5000,27,40
0.4,5000,28,40
0.4,5000,29,40
0.4,5000,30,40
0.4,5000,31,40
0.4,5000,32,40
0.4,5000,33,40
0.4,5000,34,40
0.4,5000,35,40
0.4,5000,36,40
0.4,5000,37,40
0.4,5000,38,40
0.4,5000,39,40
0.4,5000,40,40
0.4,5000,41,41
0.4,5000,42,42
0.4,5000,43,40
0.4,5000,44,40
0.4,5000,45,41
0.4,5000,46,40
0.4,5000,47,40
0.4,5000,48,41
0.4,5000,49,40
0.4,5000,50,41
0.4,5000,51,41
0.4,5000,52,40
0.4,5000,53,40
0.4,5000,54,40
0.4,5000,55,40
0.4,5000,56,40
0.4,5000,57,40
0.4,5000,58,40
0.4,5000,59,41
0.4,5000,60,40
0.4,5000,61,40
0.4,5000,62,40
0.4,5000,63,40
0.4,5000,64,40
0.4,5000,65,41
0.4,5000,66,40
0.4,5000,67,41
0.4,5000,68,40
0.4,5000,69,40
0.4,5000,70,40
0.4,5000,71,40
0.4,5000,72,40
0.4,5000,73,40
0.4,5000,74,40
0.4,5000,75,41
0.4,5000,76,40
0.4,5000,77,40
0.4,5000,78,41
0.4,5000,79,40
0.4,5000,80,40
0.4,5000,81,40
0.4,5000,82,40
0.4,5000,83,41
0.4,5000,84,40
0.4,5000,85,40
0.4,5000,86,41
0.4,5000,87,40
0.4,5000,88,40
0.4,5000,89,40
0.4,5000,90,40
0.4,5000,91,40
0.4,5000,92,41
0.4,5000,93,40
0.4,5000,94,40
0.4,5000,95,40
0.4,5000,96,40
0.4,5000,97,40
0.4,5000,98,40
0.4,5000,99,40
1.0,100,0,1
1.0,100,1,1
1.0,100,2,1
1.0,100,3,2
1.0,100,4,2
1.0,100,5,1
1.0,100,6,2
1.0,100,7,1
1.0,100,8,1
1.0,100,9,1
1.0,100,10,1
1.0,100,11,2
1.0,100,12,2
1.0,100,13,1
1.0,100,14,1
1.0,100,15,1
1.0,100,16,1
1.0,100,17,1
1.0,100,18,2
1.0,100,19,2
1.0,100,20,2
1.0,100,21,2
1.0,100,22,2
1.0,100,23,1
1.0,100,24,2
1.0,100,25,1
1.0,100,26,2
1.0,100,27,1
1.0,100,28,1
1.0,100,29,2
1.0,100,30,1
1.0,100,31,2
1.0,100,32,1
1.0,100,33,2
1.0,100,34,1
1.0,100,35,2
1.0,100,36,2
1.0,100,37,2
1.0,100,38,1
1.0,100,39,1
1.0,100,40,1
1.0,100,41,1
1.0,100,42,2
1.0,100,43,1
1.0,100,44,2
1.0,100,45,2
1.0,100,46,1
1.0,100,47,2
1.0,100,48,1
1.0,100,49,1
1.0,100,50,1
1.0,100,51,1
1.0,100,52,1
1.0,100,53,1
1.0,100,54,1
1.0,100,55,2
1.0,100,56,1
1.0,100,57,1
1.0,100,58,2
1.0,100,59,2
1.0,100,60,2
1.0,100,61,2
1.0,100,62,2
1.0,100,63,2
1.0,100,64,1
1.0,100,65,2
1.0,100,66,2
1.0,100,67,2
1.0,100,68,2
1.0,100,69,1
1.0,100,70,2
1.0,100,71,2
1.0,100,72,2
1.0,100,73,1
1.0,100,74,2
1.0,100,75,1
1.0,100,76,1
1.0,100,77,1
1.0,100,78,2
1.0,100,79,2
1.0,100,80,2
1.0,100,81,2
1.0,100,82,2
1.0,100,83,2
1.0,100,84,1
1.0,100,85,2
1.0,100,86,2
1.0,100,87,2
1.0,100,88,2
1.0,100,89,1
1.0,100,90,2
1.0,100,91,1
1.0,100,92,1
1.0,100,93,1
1.0,100,94,1
1.0,100,95,1
1.0,100,96,1
1.0,100,97,1
1.0,100,98,1
1.0,100,99,1
1.0,500,0,4
1.0,500,1,5
1.0,500,2,4
1.0,500,3,4
1.0,500,4,4
1.0,500,5,4
1.0,500,6,4
1.0,500,7,4
1.0,500,8,4
1.0,500,9,4
1.0,500,10,4
1.0,500,11,4
1.0,500,12,4
1.0,500,13,4
1.0,500,14,4
1.0,500,15,4
1.0,500,16,4
1.0,500,17,4
1.0,500,18,4
1.0,500,19,4
1.0,500,20,4
1.0,500,21,4
1.0,500,22,4
1.0,500,23,4
1.0,500,24,4
1.0,500,25,4
1.0,500,26,4
1.0,500,27,4
1.0,500,28,4
1.0,500,29,5
1.0,500,30,4
1.0,500,31,4
1.0,500,32,4
1.0,500,33,4
1.0,500,34,4
1.0,500,35,4
1.0,500,36,4
1.0,500,37,4
1.0,500,38,4
1.0,500,39,4
1.0,500,40,4
1.0,500,41,4
1.0,500,42,4
1.0,500,43,4
1.0,500,44,4
1.0,500,45,4
1.0,500,46,4
1.0,500,47,4
1.0,500,48,4
1.0,500,49,4
1.0,500,50,4
1.0,500,51,5
1.0,500,52,4
1.0,500,53,4
1.0,500,54,4
1.0,500,55,4
1.0,500,56,5
1.0,500,57,4
1.0,500,58,4
1.0,500,59,4
1.0,500,60,4
1.0,500,61,4
1.0,500,62,4
1.0,500,63,4
1.0,500,64,4
1.0,500,65,4
1.0,500,66,4
1.0,500,67,4
1.0,500,68,4
1.0,500,69,4
1.0,500,70,4
1.0,500,71,4
1.0,500,72,4
1.0,500,73,4
1.0,500,74,4
1.0,500,75,4
1.0,500,76,4
1.0,500,77,4
1.0,500,78,4
1.0,500,79,4
1.0,500,80,4
1.0,500,81,4
1.0,500,82,4
1.0,500,83,4
1.0,500,84,4
1.0,500,85,4
1.0,500,86,4
1.0,500,87,5
1.0,500,88,4
1.0,500,89,4
1.0,500,90,4
1.0,500,91,4
1.0,500,92,4
1.0,500,93,4
1.0,500,94,4
1.0,500,95,4
1.0,500,96,4
1.0,500,97,4
1.0,500,98,4
1.0,500,99,4
