model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,100,85,1.2101013475881455,0.8711862465998047,-0.33891510098834077,0.37549656153777855,0.007847855793210482,-0.3676487057445681
eta_0,100,86,1.1685424421525288,0.8384770069824663,-0.3300654351700625,0.35361144281006585,0.006186110183753721,-0.34742533262631214
eta_0,100,87,1.1682652004671537,0.8424662758659367,-0.32579892460121695,0.3893009391553199,0.006864791045787275,-0.3824361481095326
eta_0,100,88,1.1892258286986774,0.8493346625347,-0.3398911661639774,0.38652583372634935,0.007476852029700016,-0.37904898169664936
eta_0,100,89,1.1901266213913642,0.8566200352511796,-0.3335065861401846,0.3712532510023503,0.006090204293418503,-0.3651630467089318
eta_0,100,90,1.1688367849822312,0.8514050404926727,-0.31743174448955847,0.3772601656310919,0.005186882084780511,-0.37207328354631136
eta_0,100,91,1.1843837472758623,0.8568279255489278,-0.3275558217269344,0.37320317645723494,0.00988338378443499,-0.36331979267279996
eta_0,100,92,1.2272945801842703,0.890164740661324,-0.3371298395229463,0.38693872707542837,0.007701644476417198,-0.3792370825990112
eta_0,100,93,1.150123138749324,0.8307340468386287,-0.3193890919106953,0.40031422702413827,0.006733406603272839,-0.39358082042086545
eta_0,100,94,1.199220965743294,0.8639844738282223,-0.33523649191507165,0.37124340487115814,0.00995295178095911,-0.361290453090199
eta_0,100,95,1.176119518578802,0.8474794308018254,-0.3286400877769766,0.3710264501915787,0.007698704520832316,-0.3633277456707464
eta_0,100,96,1.1749214365505567,0.8390127743207099,-0.33590866222984683,0.4034553943236356,0.007513403960470067,-0.3959419903631655
eta_0,100,97,1.205894766504322,0.8683368932063573,-0.3375578732979647,0.3621170374763749,0.005020761487890551,-0.35709627598848437
eta_0,100,98,1.1625341715672233,0.8542981794945056,-0.3082359920727177,0.36912839324971713,0.0071508331148522584,-0.3619775601348649
eta_0,100,99,1.2108609372072716,0.8892185931801441,-0.32164234402712755,0.3902284843282519,0.010041326907348432,-0.3801871574209035
eta_0,500,0,0.9314521184702963,0.8620043832041351,-0.06944773526616121,0.06877224301216418,0.0015453019803330793,-0.0672269410318311
eta_0,500,1,0.945439947896563,0.8780184632038321,-0.0674214846927309,0.06415850086010703,0.0016239983184546994,-0.06253450254165234
eta_0,500,2,0.9271294619207996,0.8564152566913595,-0.07071420522944005,0.06647433973398799,0.0012545066710578793,-0.06521983306293011
eta_0,500,3,0.9219721276326466,0.8555025519214207,-0.06646957571122591,0.066322102752804,0.001155479237120283,-0.06516662351568371
eta_0,500,4,0.9183614966387449,0.8516953870081786,-0.0666661096305663,0.06950786692976894,0.0020266119210429864,-0.06748125500872595
eta_0,500,5,0.9244860015977182,0.8543707528198006,-0.07011524877791764,0.06686294338788878,0.0014992171593902431,-0.06536372622849854
eta_0,500,6,0.9108949152645202,0.8449699645552604,-0.06592495070925974,0.06734621092043665,0.0016439912247096012,-0.06570221969572705
eta_0,500,7,0.925285541819053,0.8562694143616436,-0.06901612745740937,0.06999680778329055,0.0016030868130086416,-0.06839372097028192
eta_0,500,8,0.9381433049740123,0.8676432842321906,-0.07050002074182171,0.06901602714255813,0.0012976236282179357,-0.06771840351434019
eta_0,500,9,0.9320818844372827,0.863258126623859,-0.06882375781342365,0.06417315627797607,0.0010683170682082637,-0.06310483920976781
eta_0,500,10,0.9355112883388009,0.8686472181516786,-0.06686407018712237,0.06628218547287175,0.0017161216701218084,-0.06456606380274994
eta_0,500,11,0.9261216411729221,0.8574131113039241,-0.068708529868998,0.06609972449952338,0.001568009578444985,-0.0645317149210784
eta_0,500,12,0.91488330907642,0.8452977833933348,-0.06958552568308518,0.0649763927128329,0.0009420760568803837,-0.06403431665595251
