model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,100,26,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08993791390728478,0.08993791390728478,0.19899661975717442,0.17579401214128035,1.489219121632434,1.489219121632434,2.0541432234086963
eta_0,100,27,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09211575607064017,0.09211575607064017,0.19904628863134655,0.17965645695364238,1.4905467963809,1.4905467963809003,2.0517196328778446
eta_0,100,28,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08980822295805739,0.0898082229580574,0.20322778697571747,0.17901766004415012,1.481277600941104,1.481277600941104,2.0537387717169686
eta_0,100,29,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09821330022075055,0.09821330022075055,0.19883450607064018,0.1762182671081678,1.474241401825937,1.4742414018259369,2.0524104911331023
eta_0,500,0,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04212094984465157,0.04212094984465157,0.17107516367066133,0.14019842987128273,1.4785983175854303,1.4785983175854303,2.0502998717634657
eta_0,500,1,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04059723146915224,0.04059723146915224,0.16716371227252552,0.13693833222370175,1.5047085038962071,1.504708503896207,2.0552419657914793
eta_0,500,2,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03922139924545051,0.03922139924545051,0.1740694074567244,0.15259110075454949,1.4838172547496216,1.4838172547496216,2.0519783061373373
eta_0,500,3,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03921637816245006,0.03921637816245006,0.17335631657789613,0.1371747669773635,1.4888166138983676,1.4888166138983676,2.0495673152854943
eta_0,500,4,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03792157678650688,0.03792157678650688,0.17312400133155792,0.14318056480248556,1.487063988326773,1.487063988326773,2.049020597358246
eta_0,500,5,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.039206613404349756,0.039206613404349756,0.17089183865956503,0.14834362516644473,1.483963194841237,1.483963194841237,2.0524474273791
eta_0,500,6,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.037239458499778076,0.037239458499778076,0.1710580198624057,0.14568702840656902,1.490087368348116,1.490087368348116,2.0522729888790905
eta_0,500,7,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04287929982245895,0.04287929982245895,0.1747246033067022,0.1528004327563249,1.4822075758173712,1.4822075758173712,2.0518463047265274
eta_0,500,8,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03902582667554372,0.03902582667554372,0.1722934559476254,0.13261676098535288,1.4844072089904228,1.4844072089904228,2.0497600607562543
eta_0,500,9,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0416190912117177,0.04161909121171771,0.17142149356413672,0.1441114347536618,1.483893973085843,1.483893973085843,2.0506237225286497
