model,horizon,requested_k,matching_target,repeat,method,discovered_closure_tv,ari_B16,ari_AA20,ari_L23
ECMunrest,0.01,23,L23,0,jump_profile,0.006590627834113292,0.3689816352072744,0.4302578619985749,0.3475288357629623
ECMunrest,0.01,23,L23,0,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,1,jump_profile,0.007725817678140948,0.3500644309645787,0.4796701734432755,0.35296027708626476
ECMunrest,0.01,23,L23,1,spectral,0.004287600093531877,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,2,jump_profile,0.006719494600723829,0.34065142198308995,0.4975470229366933,0.38062808968021167
ECMunrest,0.01,23,L23,2,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,3,jump_profile,0.008027788708698778,0.26689836619352325,0.4478152370700201,0.29571446753577335
ECMunrest,0.01,23,L23,3,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,4,jump_profile,0.006036510615183855,0.2602158265302685,0.3549396815728474,0.2885049405427959
ECMunrest,0.01,23,L23,4,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,5,jump_profile,0.005738436309550476,0.37246936864457075,0.5935032125877743,0.41989963106395656
ECMunrest,0.01,23,L23,5,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,6,jump_profile,0.006322247448081333,0.3474126317457802,0.46187351822241823,0.35050836134366065
ECMunrest,0.01,23,L23,6,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,7,jump_profile,0.007139774526216531,0.3083738127186326,0.42899026828449816,0.30697016204580335
ECMunrest,0.01,23,L23,7,spectral,0.004287600093531877,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,8,jump_profile,0.007757267848281268,0.33625729211750294,0.49550642333351713,0.35050836134366065
ECMunrest,0.01,23,L23,8,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,9,jump_profile,0.0058127207239839105,0.3982997417071732,0.4635004397537379,0.37871574409625997
ECMunrest,0.01,23,L23,9,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,10,jump_profile,0.006181107891410095,0.38043456399460984,0.5805270715773719,0.45824666370626593
ECMunrest,0.01,23,L23,10,spectral,0.004287600093531877,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,11,jump_profile,0.006835677373381914,0.3534939588779764,0.5073922226363523,0.39473209453364605
ECMunrest,0.01,23,L23,11,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,12,jump_profile,0.006441602653104712,0.36296362840106455,0.5303960881850329,0.3810571433990176
ECMunrest,0.01,23,L23,12,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,13,jump_profile,0.006430555455455508,0.32510195248922563,0.3497638345187554,0.2868327104949999
ECMunrest,0.01,23,L23,13,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,14,jump_profile,0.0048834855168912936,0.30169425001635375,0.424515676078896,0.3241606760969828
ECMunrest,0.01,23,L23,14,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,15,jump_profile,0.00794603589565553,0.21150260227754056,0.3024585477415666,0.21415803797162594
ECMunrest,0.01,23,L23,15,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,16,jump_profile,0.0045037386380882,0.32655902927427644,0.47534753475347535,0.3387152577557375
ECMunrest,0.01,23,L23,16,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,17,jump_profile,0.005804219978766195,0.397676669893514,0.5191240875912408,0.42099385817978785
ECMunrest,0.01,23,L23,17,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,18,jump_profile,0.00528250498059819,0.38334762896703833,0.6112496536436686,0.42990654205607476
ECMunrest,0.01,23,L23,18,spectral,0.004287600093531877,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,19,jump_profile,0.006604310335988927,0.3562356708759416,0.49247535977471796,0.3733266919868003
ECMunrest,0.01,23,L23,19,spectral,0.004287600093531877,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,20,jump_profile,0.005752238259768617,0.4246050650761286,0.57933452100454,0.46522892147193545
ECMunrest,0.01,23,L23,20,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,21,jump_profile,0.006839760203793769,0.30133624215980365,0.4792759436387946,0.3381423631811136
ECMunrest,0.01,23,L23,21,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,22,jump_profile,0.006981534581881372,0.2855798036403506,0.3791193205519681,0.2827413725526792
ECMunrest,0.01,23,L23,22,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,23,jump_profile,0.004952075336680223,0.33625994296863276,0.4766268786181667,0.324103358505992
ECMunrest,0.01,23,L23,23,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,24,jump_profile,0.006607611946253093,0.3340369009061465,0.49247535977471796,0.3733266919868003
ECMunrest,0.01,23,L23,24,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,25,jump_profile,0.006936106341349773,0.3385001838010048,0.532372771774268,0.3658510973432742
ECMunrest,0.01,23,L23,25,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,26,jump_profile,0.007297616621693498,0.2855798036403506,0.40965443593465817,0.29412643013120815
ECMunrest,0.01,23,L23,26,spectral,0.004287600093531878,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,27,jump_profile,0.006911583186773139,0.37124675091870574,0.5385031072683059,0.37799530947282556
ECMunrest,0.01,23,L23,27,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,28,jump_profile,0.006618349275359095,0.2441432720232333,0.34102189781021897,0.27113344500279174
ECMunrest,0.01,23,L23,28,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.01,23,L23,29,jump_profile,0.006041494329268867,0.3105540088375776,0.4420051225759239,0.30716979467613525
ECMunrest,0.01,23,L23,29,spectral,0.0042876000935318775,0.6613669671803526,0.8568747067104646,0.7991253721120156
ECMunrest,0.05,16,B16,0,jump_profile,0.027008542455225014,0.38903222704764345,0.49934823540771495,0.3992945515747256
ECMunrest,0.05,16,B16,0,spectral,0.0115703493079937,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,1,jump_profile,0.026199341543704853,0.418261072410339,0.4876561058559489,0.40503878877001337
